Billboard Number,Artist Name,Song Title,Last Week Number,Peak Position,Weeks On Chart
1,"Cardi B, Bad Bunny & J Balvin",I Like It,2,1,12
2,XXXTENTACION,Sad!,1,1,17
3,Juice WRLD,Lucid Dreams,4,3,7
4,Post Malone Featuring Ty Dolla $ign,Psycho,5,1,18
5,Drake,Nice For What,3,1,12
6,Ella Mai,Boo'd Up,6,5,14
7,Drake,God's Plan,7,1,23
8,Lil Baby & Drake,Yes Indeed,8,5,7
9,XXXTENTACION,Moonlight,11,9,12
10,Post Malone,Better Now,15,4,9
11,Rich The Kid,Plug Walk,20,8,20
12,XXXTENTACION,Changes,13,12,10
13,The Carters,Apes**t,9,9,2
14,Childish Gambino,This Is America,12,1,8
15,XXXTENTACION,Jocelyn Flores,14,13,22
16,Drake,I'm Upset,10,10,5
17,BlocBoy JB Featuring Drake,Look Alive,17,3,20
18,Migos Featuring Drake,Walk It Talk It,16,7,22
19,Tyga Featuring Offset,Taste,21,17,5
20,Cardi B,Be Careful,19,8,13
21,XXXTENTACION Featuring Trippie Redd,F**k Love,18,18,23
22,Juice WRLD,All Girls Are The Same,24,20,7
23,XXXTENTACION,Everybody Dies In Their Nightmares,22,22,9
24,Lil Dicky Featuring Chris Brown,Freaky Friday,25,5,15
25,Kanye West,All Mine,26,9,4
26,XXXTENTACION,The Remedy For A Broke Heart (Why Am I So In Love),29,26,4
27,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",Big Bank,--,27,4
28,Post Malone Featuring Nicki Minaj,Ball For Me,31,11,9
29,"2 Chainz, Drake & Quavo",Bigger > You,28,28,2
30,Nicki Minaj,Chun-Li,27,7,12
31,Famous Dex,Japan,32,18,14
32,Juice WRLD,Legends,--,32,1
33,Nicki Minaj Featuring Ariana Grande,Bed,23,23,2
34,J. Cole,KOD,35,7,10
35,XXXTENTACION,Hope,40,35,3
36,Lil Pump,Esskeetit,37,16,11
37,6ix9ine Featuring DJ SPINKING,TATI,34,23,5
38,Kanye West,Yikes,33,7,4
39,The Weeknd,Call Out My Name,36,3,13
40,Lil Skies Featuring Yung Pinch,I Know You,47,40,4
41,Queen Naija,Medicine,--,24,4
42,A$AP Rocky Featuring Skepta,Praise The Lord (Da Shine),39,22,5
43,Rae Sremmurd & Juicy J,Powerglide,41,17,17
44,Lil Baby Featuring Gunna & Lil Uzi Vert,Life Goes On,43,36,6
45,YoungBoy Never Broke Again,Overdose,45,22,9
46,"Khalid, Ty Dolla $ign & 6LACK",OTW,50,35,10
47,The Carters,Boss,38,38,2
48,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,Sativa,--,32,14
49,TK Kravitz Featuring Jacqueez,Ocean,--,49,1
50,Cardi B Featuring Migos,Drip,--,15,11
